request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.1337,1.5125,703,The authors suggest that future work could involve further optimization of the migration process to reduce latency even 
1,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.1165,1.3052,636,"The authors suggest that future work could involve further optimization of the Llumnix system, such as improving the eff"
2,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0362,0.1406,55,The authors suggest future work in the following areas:
3,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0571,0.1863,58,The authors suggest several future directions for Llumnix:
4,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0364,1.0929,523,"The authors suggest future work on improving the scalability and fault tolerance of Llumnix. Specifically, they note tha"
5,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.044,0.1485,61,The key performance metrics reported in the document include:
6,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0338,0.1349,57,The key performance metrics reported in the document are:
7,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0289,0.1319,57,The key performance metrics reported in the document are:
8,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0331,0.1343,61,The key performance metrics reported in the document include:
9,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0402,0.1354,61,The key performance metrics reported in the document include:
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.063,0.8196,348,"The methodology or approach proposed in the document is called Llumnix, which is a dynamic scheduling system for Large L"
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0874,1.2706,493,"The methodology proposed in the paper is a dynamic scheduling system for Large Language Model (LLM) inference, called Ll"
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0316,0.9653,407,The proposed methodology or approach is the dynamic scheduling system for Large Language Model inference (LLM inference)
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.1036,0.7606,303,The methodology or approach proposed in the paper is a dynamic scheduling system for Large Language Model (LLM) inferenc
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0268,1.2345,544,"The methodology or approach proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is a dy"
15,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.1046,1.0004,407,The authors mention a few limitations in their paper. One of the main limitations is that the design of SplitRPC is opti
16,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0486,0.8857,439,"The authors mention that traditional RPC mechanisms assume CPU-based execution, but ML inference workloads increasingly "
17,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0945,0.7279,351,"The authors mention that traditional RPC mechanisms assume CPU-based execution, which leads to significant overhead in M"
18,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0286,0.4433,206,The authors mention that existing SmartNIC-based solutions optimize data movement but not orchestration. This is a limit
