request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0515,1.3555,703,The authors suggest that future work could involve further optimization of the migration process to reduce latency even 
1,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0314,1.1311,636,"The authors suggest that future work could involve further optimization of the Llumnix system, such as improving the eff"
2,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.1015,0.2023,55,The authors suggest future work in the following areas:
3,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0282,0.1465,58,The authors suggest several future directions for Llumnix:
4,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.1106,1.1091,523,"The authors suggest future work on improving the scalability and fault tolerance of Llumnix. Specifically, they note tha"
5,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0931,0.1908,61,The key performance metrics reported in the document include:
6,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0917,0.1898,57,The key performance metrics reported in the document are:
7,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.1017,0.1992,57,The key performance metrics reported in the document are:
8,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0266,0.125,61,The key performance metrics reported in the document include:
9,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0275,0.1253,61,The key performance metrics reported in the document include:
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.122,0.8121,348,"The methodology or approach proposed in the document is called Llumnix, which is a dynamic scheduling system for Large L"
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.1071,1.219,493,"The methodology proposed in the paper is a dynamic scheduling system for Large Language Model (LLM) inference, called Ll"
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.069,0.9971,407,The proposed methodology or approach is the dynamic scheduling system for Large Language Model inference (LLM inference)
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0676,0.7143,303,The methodology or approach proposed in the paper is a dynamic scheduling system for Large Language Model (LLM) inferenc
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0349,1.2384,544,"The methodology or approach proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is a dy"
15,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0989,1.0012,407,The authors mention a few limitations in their paper. One of the main limitations is that the design of SplitRPC is opti
16,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0555,0.8851,439,"The authors mention that traditional RPC mechanisms assume CPU-based execution, but ML inference workloads increasingly "
17,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0882,0.7169,351,"The authors mention that traditional RPC mechanisms assume CPU-based execution, which leads to significant overhead in M"
18,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0258,0.4412,206,The authors mention that existing SmartNIC-based solutions optimize data movement but not orchestration. This is a limit
19,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.1074,0.2049,53,The authors mention a few limitations in their paper:
