request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0434,0.1192,46,The authors suggest the following future work:
1,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.1143,0.2128,55,The authors suggest future work in the following areas:
2,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0985,1.491,748,"The authors suggest future work to further improve the performance and scalability of Llumnix. Specifically, they propos"
3,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0926,0.2341,65,The authors suggest future work to continue improving Llumnix by:
4,osdi24-sun-biao,What future work do the authors suggest?,884,876,0.0311,0.1284,55,The authors suggest future work in the following areas:
5,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0314,0.131,57,The key performance metrics reported in the document are:
6,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.027,0.1243,57,The key performance metrics reported in the document are:
7,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0337,0.1305,61,The key performance metrics reported in the document include:
8,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.029,0.1276,57,The key performance metrics reported in the document are:
9,osdi24-sun-biao,What are the key performance metrics reported?,884,876,0.0275,0.129,57,The key performance metrics reported in the document are:
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.1142,0.5612,205,"The methodology proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is based on the con"
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0397,0.5178,235,"The methodology proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" involves a live mig"
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.1248,1.4182,676,"The methodology or approach proposed in ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is a dynamic sche"
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0822,1.2065,589,The methodology proposed in the document is dynamic scheduling for large language model (LLM) inference using a system c
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0699,1.0793,427,"The methodology proposed in the paper is the Llumnix system, which is a dynamic scheduling system for large language mod"
15,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0831,1.2003,551,The authors mention several limitations in their work. One of the main limitations is that the existing SmartNIC-based s
16,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0478,0.7579,382,"The authors mention that the traditional RPC mechanisms assume CPU-based execution, which can be a limitation for ML inf"
17,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.1114,0.5341,230,The authors mention that the shrinking execution time of ML models exposes the RPC overhead as a major performance bottl
18,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0269,1.1643,563,"The authors mention that SplitRPC is designed to separate the control and data paths in an ML inference serving system, "
19,SplitRPC-sigmetrics23,What are the main limitations mentioned by the authors?,794,784,0.0266,0.9538,470,The authors mention that existing SmartNIC-based solutions optimize data movement but not orchestration. This means that
20,SplitRPC-sigmetrics23,What methodology or approach is proposed?,791,784,0.1032,1.0483,484,The methodology or approach proposed in the document is the development of a high-performance RPC stack called SplitRPC.
