request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0369,1.1524,489,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for large language model"
1,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.1061,1.4883,647,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for large language model"
2,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0317,1.1368,490,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for Large Language Model"
3,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0301,1.151,489,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for Large Language Model"
4,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0303,1.1466,506,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for large language model"
5,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.035,0.6694,282,Llumnix is a dynamic scheduling system for large language model inference that achieves near-zero downtime live migratio
6,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0263,0.5824,250,The key findings of Llumnix include its ability to significantly reduce latency by up to 15x and achieve up to 36% cost 
7,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0694,0.6899,254,The key findings include Llumnix achieving up to 15x lower P99 latency compared to INFaaS++ and up to 36% cost savings w
8,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.028,0.6046,226,"The key findings of Llumnix include near-zero-downtime live migration of requests, achieving up to 15x lower P99 latency"
9,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0625,0.1058,25,The key findings include:
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0343,1.6956,874,The methodology or approach proposed in the document is dynamic scheduling for Large Language Model (LLM) inference. Spe
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0298,0.7791,359,"The methodology or approach proposed in the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is a dy"
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0621,1.4096,650,Llumnix proposes a dynamic scheduling system for Large Language Model (LLM) inference that supports request rescheduling
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0275,0.6688,340,The methodology or approach proposed in the document is dynamic scheduling for large language model (LLM) inference usin
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0269,0.8745,441,The methodology proposed in Llumnix is a dynamic scheduling system for Large Language Model (LLM) inference that support
15,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.028,0.1252,61,The key performance metrics reported in the document include:
16,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0516,0.149,57,The key performance metrics reported in the document are:
17,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0293,0.1264,57,The key performance metrics reported in the document are:
18,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0299,0.1276,61,The key performance metrics reported in the document include:
19,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.1082,0.2091,61,The key performance metrics reported in the document include:
20,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0865,1.044,472,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
21,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0269,0.3504,172,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed specifically "
22,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0298,0.334,159,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
23,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0265,0.9831,466,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
24,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.025,0.8855,430,"The main contribution of this paper is the development of SplitRPC, a high-performance RPC stack designed for ML inferen"
25,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0266,0.1793,82,The authors suggest that their design can be extended to other hardware platforms.
26,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.026,0.6127,309,The authors suggest that their design can be extended to other hardware platforms. They also indicate that the design ca
27,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0443,1.1653,566,The authors suggest that future work could focus on extending the design of SplitRPC to other hardware platforms. They n
28,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.028,0.1255,55,The authors suggest future work in the following areas:
29,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0288,0.5844,309,The authors suggest that future work could involve extending the design of SplitRPC to other hardware platforms. This co
30,ServerlessLLM_summary,What datasets or benchmarks were used for evaluation?,610,601,0.0275,1.2034,512,"The evaluation of ServerlessLLM was conducted using comprehensive benchmarks. Specifically, the performance of Serverles"
31,ServerlessLLM_summary,What datasets or benchmarks were used for evaluation?,610,601,0.0268,0.6137,323,"The document does not specify which datasets or benchmarks were used for evaluation. It only mentions that ""Comprehensiv"
32,ServerlessLLM_summary,What datasets or benchmarks were used for evaluation?,610,601,0.0275,1.2458,555,"The evaluation of ServerlessLLM was conducted using comprehensive benchmarks. Specifically, the document mentions that t"
33,ServerlessLLM_summary,What datasets or benchmarks were used for evaluation?,610,601,0.0411,0.313,150,"The document mentions that the evaluation was done using comprehensive benchmarks. However, it does not specify the exac"
34,ServerlessLLM_summary,What datasets or benchmarks were used for evaluation?,610,601,0.0257,0.3945,198,"The document mentions that comprehensive benchmarks were used to demonstrate the performance of ServerlessLLM. However, "
35,ServerlessLLM_summary,What trade-offs does the proposed solution involve?,610,601,0.0267,0.4413,184,"The proposed solution, ServerlessLLM, involves several trade-offs to optimize for low-latency serverless inference of la"
36,ServerlessLLM_summary,What trade-offs does the proposed solution involve?,610,601,0.0283,0.4099,173,"The proposed solution, ServerlessLLM, involves several trade-offs to optimize low-latency serverless inference of large "
37,ServerlessLLM_summary,What trade-offs does the proposed solution involve?,610,601,0.027,0.3966,167,"The proposed solution, ServerlessLLM, involves several trade-offs to optimize low-latency serverless inference of large "
38,ServerlessLLM_summary,What trade-offs does the proposed solution involve?,610,601,0.0664,0.2573,93,"The proposed solution, ServerlessLLM, involves several trade-offs that need to be considered:"
39,ServerlessLLM_summary,What trade-offs does the proposed solution involve?,610,601,0.0982,0.5311,197,"The proposed solution, ServerlessLLM, involves several trade-offs to address the challenges of low-latency serverless in"
40,ServerlessLLM_summary,What methodology or approach is proposed?,608,601,0.0573,0.5351,225,"The methodology or approach proposed in the document is the ServerlessLLM system, which is designed to provide low-laten"
41,ServerlessLLM_summary,What methodology or approach is proposed?,608,601,0.0281,0.3647,177,The methodology or approach proposed in the document is a distributed system for low-latency serverless inference of Lar
42,ServerlessLLM_summary,What methodology or approach is proposed?,608,601,0.0291,0.8152,393,The methodology or approach proposed in ServerlessLLM is a distributed system for low-latency serverless inference of LL
43,ServerlessLLM_summary,What methodology or approach is proposed?,608,601,0.1033,0.7005,293,The methodology proposed in the document is a distributed system for low-latency serverless inference of Large Language 
44,ServerlessLLM_summary,What methodology or approach is proposed?,608,601,0.0994,0.4447,162,ServerlessLLM proposes to optimize low-latency serverless inference of LLMs by leveraging GPU server storage hierarchies
45,click,How does this paper relate to network systems or ML inference?,685,673,0.0254,0.604,337,"The paper ""Click Modular Router"" discusses a software architecture for building modular routers using packet processing "
46,click,How does this paper relate to network systems or ML inference?,685,673,0.0276,0.599,309,"The paper ""The Click Modular Router"" discusses the Click router, which is a software architecture for building modular r"
47,click,How does this paper relate to network systems or ML inference?,685,673,0.1251,0.9204,425,"The paper ""The Click Modular Router"" discusses Click, which is a software architecture for building flexible and modular"
48,click,How does this paper relate to network systems or ML inference?,685,673,0.0281,0.2988,137,"The paper ""The Click Modular Router"" relates to network systems and machine learning inference in several ways. Here are"
49,click,How does this paper relate to network systems or ML inference?,685,673,0.0306,0.2803,122,"The paper ""The Click Modular Router"" relates to network systems and machine learning (ML) inference in the following way"
50,click,What future work do the authors suggest?,681,673,0.0473,0.9183,521,The authors suggest that future work could focus on improving the performance of the Click modular router by optimizing 
51,click,What future work do the authors suggest?,681,673,0.0274,1.3198,656,The authors suggest future work in the area of software-defined networking (SDN) and network function virtualization (NF
52,click,What future work do the authors suggest?,681,673,0.0276,0.5496,308,The authors suggest that future work could involve further optimization of the Click architecture to improve performance
53,click,What future work do the authors suggest?,681,673,0.085,0.1712,51,The authors suggest that future work could include:
54,click,What future work do the authors suggest?,681,673,0.0277,0.7473,403,"The authors suggest that future work could focus on improving the performance of the Click router, exploring new routing"
55,click,Describe the experimental setup used in this paper.,682,673,0.0438,1.197,551,The experimental setup used in this paper involved creating a complete IP router using 16 elements per path. The functio
56,click,Describe the experimental setup used in this paper.,682,673,0.0281,1.015,488,"The experimental setup in this paper involves running a Click-based router on a set of testbed hardware. Specifically, t"
57,click,Describe the experimental setup used in this paper.,682,673,0.0289,0.6276,281,The experimental setup used in this paper is described in detail in section 6. The authors conducted tests to evaluate t
58,click,Describe the experimental setup used in this paper.,682,673,0.0273,1.3326,678,"The paper does not provide specific details about the experimental setup used. However, based on the information given, "
59,click,Describe the experimental setup used in this paper.,682,673,0.0381,0.8581,426,The experimental setup used in this paper involved testing the Click modular router on a general-purpose hardware platfo
60,cacheblend,What is the main contribution of this paper?,925,916,0.0296,0.9595,440,"The main contribution of this paper is the introduction of CacheBlend, a system that accelerates large language model (L"
61,cacheblend,What is the main contribution of this paper?,925,916,0.0981,0.9053,377,"The main contribution of this paper is the introduction of CacheBlend, an efficient method for large language model (LLM"
62,cacheblend,What is the main contribution of this paper?,925,916,0.0316,1.3451,549,"The main contribution of this paper is the introduction of CacheBlend, which enables efficient reuse of precomputed key-"
63,cacheblend,What is the main contribution of this paper?,925,916,0.0321,1.223,485,"The main contribution of this paper is the introduction of CacheBlend, a method that accelerates large language model (L"
64,cacheblend,What is the main contribution of this paper?,925,916,0.0283,0.902,406,"The main contribution of this paper is the introduction of CacheBlend, a method that accelerates large language model (L"
65,cacheblend,How does this work compare to prior approaches?,925,916,0.0282,0.1477,66,CacheBlend compares favorably to prior approaches in several ways:
66,cacheblend,How does this work compare to prior approaches?,925,916,0.0291,0.9248,376,"CacheBlend compares favorably to prior approaches in terms of both speed and quality. Specifically, it reduces time-to-f"
67,cacheblend,How does this work compare to prior approaches?,925,916,0.0987,1.0367,422,CacheBlend compares favorably to prior approaches in terms of both speed and quality. It reduces the time-to-first-token
68,cacheblend,How does this work compare to prior approaches?,925,916,0.0349,1.2339,479,"Compared to prior approaches, CacheBlend accelerates large language model (LLM) inference in Retrieval-Augmented Generat"
69,cacheblend,How does this work compare to prior approaches?,925,916,0.0822,1.0718,442,"CacheBlend compares favorably to prior approaches in terms of speed and quality. Specifically, it reduces time-to-first-"
70,cacheblend,What are the practical implications of this work?,925,916,0.1119,0.1866,48,The practical implications of this work include:
71,cacheblend,What are the practical implications of this work?,925,916,0.1119,0.188,48,The practical implications of this work include:
72,cacheblend,What are the practical implications of this work?,925,916,0.1225,1.3781,513,The practical implications of this work are significant for large language model (LLM) serving in retrieval augmented ge
73,cacheblend,What are the practical implications of this work?,925,916,0.0315,0.5965,280,The practical implications of this work are significant. CacheBlend enables the efficient reuse of precomputed key-value
74,cacheblend,What are the practical implications of this work?,925,916,0.0282,0.1044,48,The practical implications of this work include:
75,osdi24-lee,What trade-offs does the proposed solution involve?,810,801,0.1029,0.2741,65,"The proposed solution, InfiniGen, involves a few key trade-offs. "
76,osdi24-lee,What trade-offs does the proposed solution involve?,810,801,0.0264,0.1683,62,"The proposed solution, InfiniGen, involves several trade-offs:"
77,osdi24-lee,What trade-offs does the proposed solution involve?,810,801,0.0266,1.0926,480,"The proposed solution, InfiniGen, involves several trade-offs. One of the main trade-offs is the accuracy vs. performanc"
78,osdi24-lee,What trade-offs does the proposed solution involve?,810,801,0.0275,0.2893,118,"The proposed solution InfiniGen involves several trade-offs, primarily in terms of accuracy, speed, and memory usage. "
79,osdi24-lee,What trade-offs does the proposed solution involve?,810,801,0.0262,1.1814,534,"The proposed solution, InfiniGen, involves several trade-offs. One of the primary trade-offs is the speed versus accurac"
