request_id,context_id,question,token_length,context_tokens,ttft_s,total_latency_s,response_length,response_preview
0,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.1255,1.2469,489,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for Large Language Model"
1,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0321,1.1479,489,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for large language model"
2,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0325,1.1513,489,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for large language model"
3,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.0558,1.3358,569,"The main contribution of the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" is the introduction of"
4,osdi24-sun-biao,What is the main contribution of this paper?,885,876,0.1133,1.2231,492,"The main contribution of this paper is the introduction of Llumnix, a dynamic scheduling system for Large Language Model"
5,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0594,0.103,25,The key findings include:
6,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.026,0.7044,257,"The key findings of the paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" include near-zero-downtime "
7,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.029,0.8508,355,"Llumnix is a dynamic scheduling system for large language model inference that achieves better load balancing, reduces m"
8,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0275,0.9908,426,Llumnix is a dynamic scheduling system for large language model inference that supports request rescheduling across mult
9,osdi24-sun-biao,Summarize the key findings in 2-3 sentences.,889,876,0.0278,0.6074,230,"The key findings from the research paper ""Llumnix: Dynamic Scheduling for Large Language Model Serving"" include a 15x im"
10,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0387,0.7073,355,"The methodology proposed in the document is dynamic scheduling for large language model (LLM) inference. Specifically, L"
11,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0259,0.4839,252,The methodology proposed in the document is request rescheduling (like OS context switching) across model instances to b
12,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0255,0.759,387,The methodology or approach proposed in the paper is dynamic scheduling for large language model (LLM) inference. Specif
13,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0325,0.6977,362,The methodology or approach proposed in the document is dynamic scheduling for large language model (LLM) inference. Spe
14,osdi24-sun-biao,What methodology or approach is proposed?,883,876,0.0998,0.4483,162,The methodology or approach proposed in the Llumnix paper is dynamic scheduling for large language model (LLM) inference
15,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.1009,0.4782,183,"The key performance metrics reported in the document include latency and throughput. Specifically, SplitRPC significantl"
16,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0474,0.1452,61,The key performance metrics reported in the document include:
17,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0904,0.1881,61,The key performance metrics reported in the document include:
18,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.0286,0.1267,61,The key performance metrics reported in the document include:
19,SplitRPC-sigmetrics23,What are the key performance metrics reported?,792,784,0.025,0.1238,57,The key performance metrics reported in the document are:
20,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.119,1.0343,444,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
21,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0286,0.9883,472,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
22,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0262,0.9318,459,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
23,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.028,0.9677,462,"The main contribution of this paper is the development of SplitRPC, a high-performance RPC stack designed for ML inferen"
24,SplitRPC-sigmetrics23,What is the main contribution of this paper?,793,784,0.0298,0.9957,472,"The main contribution of this paper is the introduction of SplitRPC, a high-performance RPC stack designed for ML infere"
25,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0536,1.0587,480,The authors suggest future work that can build on the success of SplitRPC in addressing the growing cost of RPC overhead
26,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0333,0.3385,182,The authors suggest that future work could focus on extending SplitRPC to other hardware platforms and exploring further
27,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.0417,0.64,313,The authors suggest that their design can be extended to other hardware platforms. They also note that their approach ca
28,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.1016,0.7109,315,"The authors suggest that their design could be extended to other hardware platforms, and that it could also be applied t"
29,SplitRPC-sigmetrics23,What future work do the authors suggest?,792,784,0.026,1.2714,616,The authors suggest that future work could focus on extending the design of SplitRPC to other hardware platforms. This c
